[2025-06-19T12:41:34.404+02:00] model usage detail: {"completion_tokens":140,"prompt_tokens":1562,"total_tokens":1875}
[2025-06-19T12:41:47.105+02:00] model usage detail: {"completion_tokens":153,"prompt_tokens":1585,"total_tokens":1922}
[2025-06-19T12:42:02.958+02:00] model usage detail: {"completion_tokens":197,"prompt_tokens":1604,"total_tokens":2019}
[2025-06-19T12:42:21.433+02:00] model usage detail: {"completion_tokens":196,"prompt_tokens":1631,"total_tokens":2140}
[2025-06-19T12:42:38.498+02:00] model usage detail: {"completion_tokens":192,"prompt_tokens":1649,"total_tokens":1939}
[2025-06-19T12:42:57.584+02:00] model usage detail: {"completion_tokens":137,"prompt_tokens":1679,"total_tokens":2037}
[2025-06-19T12:43:16.279+02:00] model usage detail: {"completion_tokens":173,"prompt_tokens":1702,"total_tokens":2466}
[2025-06-19T12:43:32.861+02:00] model usage detail: {"completion_tokens":154,"prompt_tokens":1722,"total_tokens":2092}
[2025-06-19T12:44:38.982+02:00] model usage detail: {"completion_tokens":186,"prompt_tokens":1465,"total_tokens":1817}
[2025-06-19T12:44:57.145+02:00] model usage detail: {"completion_tokens":150,"prompt_tokens":1523,"total_tokens":1782}
[2025-06-19T12:45:14.345+02:00] model usage detail: {"completion_tokens":151,"prompt_tokens":1543,"total_tokens":1787}
[2025-06-19T12:45:50.168+02:00] model usage detail: {"completion_tokens":0,"prompt_tokens":1564,"total_tokens":3611}
[2025-06-19T12:46:53.041+02:00] model usage detail: {"completion_tokens":180,"prompt_tokens":1471,"total_tokens":1787}
[2025-06-19T12:47:08.948+02:00] model usage detail: {"completion_tokens":167,"prompt_tokens":1537,"total_tokens":1803}
[2025-06-19T12:47:26.347+02:00] model usage detail: {"completion_tokens":185,"prompt_tokens":1555,"total_tokens":1858}
[2025-06-19T12:47:45.443+02:00] model usage detail: {"completion_tokens":161,"prompt_tokens":1573,"total_tokens":1877}
[2025-06-19T12:48:01.723+02:00] model usage detail: {"completion_tokens":160,"prompt_tokens":1591,"total_tokens":1818}
[2025-06-19T12:48:18.747+02:00] model usage detail: {"completion_tokens":142,"prompt_tokens":1610,"total_tokens":1863}
[2025-06-19T12:48:34.663+02:00] model usage detail: {"completion_tokens":163,"prompt_tokens":1628,"total_tokens":1920}
[2025-06-19T12:48:52.580+02:00] model usage detail: {"completion_tokens":177,"prompt_tokens":1647,"total_tokens":1969}
[2025-06-19T12:49:11.400+02:00] model usage detail: {"completion_tokens":157,"prompt_tokens":1665,"total_tokens":2010}
[2025-06-19T12:49:31.155+02:00] model usage detail: {"completion_tokens":176,"prompt_tokens":1683,"total_tokens":2037}
[2025-06-19T12:49:48.700+02:00] model usage detail: {"completion_tokens":156,"prompt_tokens":1701,"total_tokens":2024}
[2025-06-19T12:50:50.314+02:00] model usage detail: {"completion_tokens":184,"prompt_tokens":1471,"total_tokens":1727}
[2025-06-19T12:51:07.165+02:00] model usage detail: {"completion_tokens":177,"prompt_tokens":1529,"total_tokens":1805}
[2025-06-19T12:51:25.787+02:00] model usage detail: {"completion_tokens":168,"prompt_tokens":1547,"total_tokens":1862}
[2025-06-19T12:51:44.660+02:00] model usage detail: {"completion_tokens":164,"prompt_tokens":1565,"total_tokens":1892}
[2025-06-19T12:52:02.382+02:00] model usage detail: {"completion_tokens":153,"prompt_tokens":1583,"total_tokens":1867}
[2025-06-19T12:52:39.384+02:00] model usage detail: {"completion_tokens":0,"prompt_tokens":1601,"total_tokens":3648}
[2025-06-19T12:40:17.177Z] model usage detail: {"prompt_tokens":1516,"completion_tokens":71,"total_tokens":1587}
[2025-06-19T12:40:31.946Z] model usage detail: {"prompt_tokens":2773,"completion_tokens":97,"total_tokens":2870}
[2025-06-19T12:40:46.634Z] model usage detail: {"prompt_tokens":4057,"completion_tokens":94,"total_tokens":4151}
[2025-06-19T12:41:01.907Z] model usage detail: {"prompt_tokens":5337,"completion_tokens":93,"total_tokens":5430}
